Unnamed: 0,im,Old,Female,DarkSkin,ita
0,151659.jpg,False,False,False,41.56541017513928
1,138436.jpg,False,False,False,36.40483956028006
2,159241.jpg,False,True,False,37.9831391667404
3,012986.jpg,False,True,False,32.32088300640612
4,184901.jpg,False,True,False,34.760517857868855
5,110371.jpg,False,True,False,32.69813236286573
6,147752.jpg,False,False,False,30.21690296470036
7,170688.jpg,False,True,False,37.21246048414768
8,160191.jpg,False,True,False,37.88153899044484
9,071779.jpg,False,False,False,43.05673486256361
10,164411.jpg,False,True,False,37.69047972528056
11,105434.jpg,False,True,False,35.68823935219964
12,007392.jpg,False,True,False,45.98193937902115
13,102885.jpg,False,False,False,39.87713968303978
14,136359.jpg,False,True,False,32.29537097098794
15,071257.jpg,False,True,False,39.9947628434651
16,164771.jpg,False,True,False,42.02306754727717
17,111199.jpg,False,True,False,33.79929587569709
18,083839.jpg,False,True,False,34.400373717341196
19,069043.jpg,False,True,False,44.74147479308514
20,078312.jpg,False,True,False,32.37519891435114
21,084471.jpg,False,True,False,39.435399785410816
22,004336.jpg,False,True,False,33.886967027720786
23,034874.jpg,False,True,False,37.10969476428561
24,086617.jpg,False,False,False,36.34553883148101
25,069014.jpg,False,True,False,45.282608062881266
26,189172.jpg,False,True,False,35.48968659855958
27,073264.jpg,False,True,False,36.52431434486196
28,047219.jpg,False,True,False,44.81623676488848
29,018193.jpg,False,True,False,45.64157656264244
30,195595.jpg,False,False,False,38.42393393414103
31,130221.jpg,False,True,False,33.10562769801007
32,155972.jpg,False,True,False,29.33569927167673
33,008879.jpg,False,True,False,34.44021724432432
34,163452.jpg,False,True,False,39.075380816652334
35,042930.jpg,False,True,False,36.320427684732024
36,115520.jpg,False,True,False,31.23574370810245
37,067847.jpg,False,False,False,31.509228571647352
38,184178.jpg,False,True,False,40.31623478372596
39,093112.jpg,False,True,False,28.44172815166976
40,110523.jpg,False,True,False,37.447799970596
41,154630.jpg,False,True,False,30.488166071233106
42,097772.jpg,False,False,False,37.69901696700264
43,011401.jpg,False,False,False,31.28928704081836
44,148790.jpg,False,False,False,39.21856317411356
45,043131.jpg,False,True,False,35.23981954055993
46,183097.jpg,False,True,False,41.02201859483233
47,063742.jpg,False,False,False,34.47328996847134
48,081990.jpg,False,False,False,28.828799278299478
49,066638.jpg,False,True,False,36.25504806189493
50,040418.jpg,False,True,False,32.113054737230826
51,006826.jpg,False,True,False,35.24943099810432
52,073514.jpg,False,True,False,38.888187825887776
53,157964.jpg,False,False,False,46.929436480043876
54,182179.jpg,False,False,False,39.92694320352812
55,005785.jpg,False,True,False,39.13350356320588
56,096940.jpg,False,True,False,38.37194585628085
57,043753.jpg,False,True,False,40.08392633232532
58,189262.jpg,False,True,False,41.488730010263865
59,084230.jpg,False,False,False,44.94437261420961
60,144932.jpg,False,True,False,31.25807639036509
61,105662.jpg,False,True,False,40.008597436713174
62,088436.jpg,False,True,False,42.113389459594394
63,092636.jpg,False,True,False,38.64042221584525
64,070123.jpg,False,False,False,30.713036120556804
65,189994.jpg,False,False,False,40.992282087119044
66,062237.jpg,False,True,False,42.425587384362345
67,112654.jpg,False,True,False,36.0738849102606
68,012463.jpg,False,True,False,40.541156221454614
69,089267.jpg,False,False,False,43.81391212450347
70,185711.jpg,False,True,False,37.2203900681713
71,042701.jpg,False,True,False,38.64280267346577
72,148642.jpg,False,False,False,32.42979047522567
73,135333.jpg,False,True,False,31.982306986920143
74,134650.jpg,False,True,False,46.634277189304285
75,040761.jpg,False,True,False,41.56887838780212
76,100702.jpg,False,True,False,40.88235124806307
77,127945.jpg,False,True,False,33.487639269753736
78,006895.jpg,False,True,False,44.91007144588813
79,095808.jpg,False,False,False,35.744890156896794
80,133377.jpg,False,True,False,38.27546481047395
81,099223.jpg,False,True,False,42.47238895235936
82,096150.jpg,False,False,False,41.108328742741634
83,157073.jpg,False,False,False,32.84619596596319
84,048685.jpg,False,True,False,31.835969741451787
85,179892.jpg,False,True,False,40.31617657559843
86,177770.jpg,False,True,False,35.70744210626147
87,129601.jpg,False,True,False,30.962645095500914
88,118400.jpg,False,False,False,29.252433695499025
89,139060.jpg,False,False,False,42.84626927198296
90,186259.jpg,False,True,False,32.379013015149106
91,164339.jpg,False,False,False,30.073858193982076
92,055317.jpg,False,False,False,28.320388511982497
